GBP/CHF
Date,Open Price,High Price,Low Price,Close Price
2006-05-30,2.27680,2.28320,2.27180,2.28050
2006-05-29,2.27920,2.28040,2.27400,2.27670
2006-05-26,2.28100,2.28290,2.27120,2.27880
2006-05-25,2.27530,2.28180,2.27080,2.28070
2006-05-24,2.27450,2.27810,2.26550,2.27550
2006-05-23,2.27060,2.27850,2.26680,2.27250
2006-05-22,2.28450,2.28540,2.26850,2.27020
2006-05-19,2.28190,2.29370,2.28040,2.28380
2006-05-18,2.28530,2.29090,2.27910,2.28210
2006-05-17,2.27890,2.29200,2.27590,2.28540
2006-05-16,2.27630,2.28300,2.27380,2.27870
2006-05-15,2.26730,2.27930,2.26360,2.27670
2006-05-12,2.28360,2.28510,2.26680,2.26750
2006-05-11,2.27240,2.29210,2.26830,2.28340
2006-05-10,2.27730,2.27860,2.26680,2.27200
2006-05-09,2.28160,2.28540,2.27480,2.27770
2006-05-08,2.27940,2.28350,2.27370,2.28270
2006-05-05,2.27460,2.27940,2.27120,2.27780
2006-05-04,2.27820,2.28430,2.26980,2.27530
2006-05-03,2.27550,2.27940,2.26920,2.27760
2006-05-02,2.26560,2.27800,2.26260,2.27540
2006-05-01,2.25800,2.26670,2.25600,2.26520
2006-04-28,2.27030,2.27170,2.25510,2.26110
2006-04-27,2.26750,2.27540,2.26410,2.26970
2006-04-26,2.26590,2.27040,2.26360,2.26720
2006-04-25,2.26410,2.27050,2.26390,2.26580
2006-04-24,2.27300,2.27650,2.26390,2.26520
2006-04-21,2.27260,2.27840,2.26970,2.27360
2006-04-20,2.27070,2.27600,2.26600,2.27270
2006-04-19,2.26030,2.27510,2.25820,2.27050
2006-04-18,2.26470,2.27000,2.25790,2.25960
2006-04-17,2.27310,2.27590,2.26050,2.26450
2006-04-14,2.27380,2.27610,2.27160,2.27320
2006-04-13,2.27380,2.27760,2.27070,2.27400
2006-04-12,2.26940,2.27830,2.26610,2.27340
2006-04-11,2.26990,2.27320,2.26280,2.26870
2006-04-10,2.26540,2.27240,2.26390,2.27020
2006-04-07,2.25980,2.27080,2.25770,2.26890
2006-04-06,2.25020,2.26400,2.24830,2.26040
